Store Name,Area,Pincode,Latitude,Longitude
"Om Motors, Near Sun Bright School",Ambegaon Budruk,411046,18.447818978799855,73.83707963006026
"Blinkit, Shop No 1",Kondhwa Budruk,411046,18.439057044915558,73.88882776505255
"Dwarka Audumbar, Road",Nanded,411068,18.454212862738054,73.79246726719298
"Vighnaharta Hospital, Narhe Gaon Road Mokarwadi",Narhe,411041,18.444978069708945,73.82221794128306
"Shree EnterPrises, Behind Dharmavat PetrolPump",Pisoli,411048,18.444055054976644,73.90648415852127
"Dhanmai Corner, Sukhasagar Rd",Pune,411046,18.45529083614804,73.87000071843991
"Akash Suraj Washing Center, Sunrise Garden Cafe",Undri,411048,18.45753,73.913113
"Block-C, Nyati Wind Chimes",Pune,411048,18.457451274523894,73.92328025386634
"Indrajeet Foods Pvt Ltd, 74/5 Wadgaon Budruk",Nanded,411068,18.467946948975925,73.81416856125355
"Dmart Ready, Charan Heights",Ambegaon Budruk,411043,18.458291195472512,73.83543449956612
"Swami Vivekanand Garden, Swami Vivekanand Marg",Kondhwa,411048,18.46038426051024,73.8803944640615
"Balaji Nagar Road, Kala Nagar",Pune,411043,18.463775385195834,73.85802996499953
"Yadav Pan Shop, Survey No. 71",Hadapsar,411013,18.479279144448434,73.93125905460214
"Bank Of India, Mumbai Pune ByPass Rd",Warje,411058,18.48560565504851,73.7989399281257
"Urban Inn, 694/1",Maharshi Nagar,411037,18.49041161983471,73.8583802746266
"Kingston Court, Mohammad Wadi Rd",Mohammed Wadi,411060,18.477157,73.903751
"Purohit Sweet Mart, Shiv Shakti Chowk",Tukai Darshan,412308,18.487487616960113,73.95236014687275
"Yajurved Society, Hingne Budrukh",Pune,411052,18.488349995688104,73.82547554559928
"Kumar Gulmohar, Opp Sufi's Restaurant",Wanowrie,411048,18.48389437226015,73.89380532174305
"Shree Umiya Motors, Kanifnath Society",Manjri Bk,412307,18.499191519942507,73.96199560515193
"Dagade Icon, Service Rd",Bavdhan,411021,18.51473121164211,73.76854383433324
"Homeo Care Clinic (Dr. Vaseem Choudhary)",Hadapsar,411028,18.507099,73.927743
"Patel Car Care, Back Side Of",Hadapsar,411036,18.520489386273805,73.93669208266903
"Yugal Shriya Apartment, 1011/A",Shivajinagar,411016,18.523542,73.826067
"Abhinav Group, 927/302",Shivajinagar,411016,18.525109105641395,73.84124711437397
"Enna Rasam, Shop No. 1",Sangamvadi,411001,18.53204746784046,73.87647017250397
"Media Park, Bhagwan Tatyasaheb Kawade Rd",Ghorpadi,411036,18.518596726913405,73.90558616526567
"Mahindra Service Center, Shinde Vasti",Hadapsar,411036,18.517035379805968,73.91546653483223
"Kp'S Restaurant, Matruchhaya Building",Mundhwa,411036,18.533884514193318,73.94145185705199
"Shiv Krishna Lawns, Mundhwa",Manjari Budruk,412307,18.52599394214876,73.95653394894562
"New Charan Sweets Sus Road, Pashan - Sus Rd",Pashan,411021,18.541367004311894,73.79138809223498
"The Heart Clinic Dr Satyajeet Suryawanshi",Aundh,411067,18.55387773769314,73.80510328509702
"Kiosk Kaffee, Lane No. 6",Koregaon Park,411001,18.538939760330578,73.89908159188836
"Chef De Burger, Shop No 4",Wadgaon Sheri,411014,18.551626,73.918524
"Central Board Of Secondary Education (CBSE)",Kharadi,411014,18.547134604024436,73.93036813110294
"Ujjawal Apartments, Pashan - Sus Rd",Sus,411045,18.55161059360403,73.76318420018592
"Renault Baner Service, 35-2-1-1",Baner,411045,18.554512138699245,73.771618
"Crystal Garden, Baner",Baner,411045,18.5604656960115,73.7793442045789
"Auto Clinic, Plot 16/ C",Vishrantwadi,411032,18.573894510600073,73.88272054286362
"Shree Balaji PG For Men's - Kalyani Nagar",Wadgaon Sheri,411014,18.55144440603665,73.90812102361824
"Esclare Royale Apartment, Rakshak Nagar",Kharadi,411014,18.549980158821416,73.94419927853454
"Ariana International School Mahalunge Pune",Mahalunge,411045,18.56691223284226,73.74127024079031
"Mhalunge - Nande Rd",Pune,411045,18.56951733524973,73.76226079171305
"Blinkit Store Balewadi",Balewadi,411045,18.57938498850162,73.76732961476918
"Shanta Niketan, Khadki",Old Sangvi,411020,18.568973856988862,73.83060977911178
"Prospero, Building",Kharadi,411014,18.561999562342795,73.94895610706058
"Daksham Boutique, Baif Rd",Wagholi,412207,18.574517745238953,73.97903402017049
"Ranveer Studio, 4th LN",Hinjawadi,411057,18.582557181279196,73.6815114353324
"Blinkit Store HP-2, Phase 2",Hinjawadi,411057,18.583905,73.695253
"New Sai Balaji Luxury PG, Sakhare Vasti Rd",Hinjawadi,411057,18.581081,73.74381948947304
"Kalpataru New Launch Pimple Nilakh",Pimple Nilakh,411027,18.57727216061804,73.78819499667664
"Quantity Mastergauges And Tools",Wagholi,412207,18.586811133668704,73.97224381936604
"Royal Enfield Service Center - Kings Royal Riders",Kasturi Chowk,411057,18.597860361121093,73.74150699610614
"Blinkit Dark Store Bhoomkar Chouk",Wakad,411057,18.60383,73.755975
"Sky Fly Trampoline Park, Shankar Kalat Nagar",Wakad,411057,18.60167593783687,73.76585501795918
"Kotak Mahindra Bank, Jarvari - Shop No.1",Pimple Saudagar,411027,18.59423118397413,73.79717114800279
"2/51, Bhosari Sambhaji Nagar",Pimpri Chinchwad,411015,18.615069911606184,73.87551409994683
"YS Mangal Products Pvt Ltd, Unit B",Dhanori,411015,18.594895934243624,73.9002983249097
"S & A DJ Academy, Vikram Gold Mine",Shivajinagar,411004,18.51965844843694,73.84195776147403
"Eon West, Tathawade",Wakad,411057,18.608321348904063,73.74412654327628
"Pimpri Chinchwad Rahatani Phata",Rahatani,411017,18.603369408551924,73.79236828674951
"KidZee Thergaon, Laxman Nagar",Thergaon,411033,18.613021762127204,73.77352484933995
"Sneh Clinic, Porwal Road Kutwal Colony",Lohegaon,411047,18.60142905641394,73.91178143954559
"Comfort Stay, Lohegaon",Lohegaon,411047,18.616393828961552,73.90965452738614
"Krisala Rizzz, Nora Society",Punawale,411033,18.62246641250449,73.72450466402503
"TFL Custom, Tathawade Rd",Punawale,411033,18.635135,73.74115126193786
"Deoghar Society, Chinchwad",Pimpri Chinchwad,411033,18.635135,73.78972434840394
"Kanta Residency, Morewadi",Pimpri Colony,411019,18.63247150736615,73.80287187776572
"Blinkit Warehouse, Bhosari",Bhosari,411039,18.628916286740928,73.85295234334097
"Snehal Building, Dy Patil College Rd",Nigdi,411035,18.642771,73.754424
"Aditya Woods, Sector No. 9",Pimpri Chinchwad,412105,18.65479793999281,73.83881274457951
"SSPU Library, Mumbai - Pune Hwy",Ravet,412101,18.662162,73.71754307028299
"Seasons Banquets, 3 Block",Akurdi,411035,18.655159664390943,73.78010873927151
"Star Mutton Shop, SH-56",Ravet,412101,18.662162,73.73103888389194
"Kamlesh Auto, Dhakatya Paduka",Alandi,412105,18.667623731943944,73.88965350957945
"Gore Residency, Rd Number 6",Chikhali,411019,18.669907688106356,73.80017443075084
"Titan Watches, Laxmi Road",Moshi,411062,18.67945358983112,73.8334828796196
"Akash Kiran Phase - 1",Pimple Gurav,411027,18.5835738135106,73.8218372007213
"Treebo Trend The Elite Suites, Datta Mandir",Viman Nagar,411014,18.565160526051027,73.91397351463988
"LIC Guest House (Miami Apartment)",Sadar Bazaar,411001,18.513514,73.873642
"Ashish Garden, Shivarudra Apartment",Kothrud,411038,18.5024389148401,73.8023357413116
"Arnav Residency, Near Siddhivinayak Vihar",Bavdhan (Bhugaon),412115,18.502423194394538,73.73994212311645
"Manuja Lawns & Banquet",Kharadi,412207,18.552481955443767,73.96373946011063
"Blinkit Store, Gagan Adira Rd",Wagholi,412207,18.58862010779734,73.9944195821333
